Time,mean_radiation,mean_temp,mean_relative_hum
2022-01-19T00:00:00+00:00,0,5.4,88.1
2022-01-19T01:00:00+00:00,0,5.1,88.5
2022-01-19T02:00:00+00:00,0,5.3,88.3
2022-01-19T03:00:00+00:00,0,5.4,88.7
2022-01-19T04:00:00+00:00,0,5.3,89.7
2022-01-19T05:00:00+00:00,0,5.6,89.7
2022-01-19T06:00:00+00:00,0,5.8,90.1
2022-01-19T07:00:00+00:00,0.3,6,89.7
2022-01-19T08:00:00+00:00,3.1,6,91.4
2022-01-19T09:00:00+00:00,8.8,5.9,94.1
2022-01-19T10:00:00+00:00,11.2,5.7,95.2
2022-01-19T11:00:00+00:00,13.6,5.7,95.6
2022-01-19T12:00:00+00:00,16.3,5.7,95.5
2022-01-19T13:00:00+00:00,14.9,5.8,95.3
2022-01-19T14:00:00+00:00,4.9,6,94.9
2022-01-19T15:00:00+00:00,0.2,6,96
2022-01-19T16:00:00+00:00,0,5.8,90.4
2022-01-19T17:00:00+00:00,0,5.2,76.6
2022-01-19T18:00:00+00:00,0,4.4,61.5
2022-01-19T19:00:00+00:00,0,3.5,52.5
2022-01-19T20:00:00+00:00,0,2.7,49.3
2022-01-19T21:00:00+00:00,0,2.2,46.3
2022-01-19T22:00:00+00:00,0,1.8,44
2022-01-19T23:00:00+00:00,0,1.4,42.1
2022-01-20T00:00:00+00:00,0,0.9,41.4
2022-01-20T01:00:00+00:00,0,1,43.6
2022-01-20T02:00:00+00:00,0,1.1,47.1
2022-01-20T03:00:00+00:00,0,1.9,48.1
2022-01-20T04:00:00+00:00,0,2.3,48.9
2022-01-20T05:00:00+00:00,0,2.3,47.7
2022-01-20T06:00:00+00:00,0,2.1,46.7
2022-01-20T07:00:00+00:00,3.1,1.8,46.9
2022-01-20T08:00:00+00:00,41.2,1.7,46.6
2022-01-20T09:00:00+00:00,129.5,2.1,43.3
2022-01-20T10:00:00+00:00,186.4,2.2,41.7
2022-01-20T11:00:00+00:00,225.4,2.2,38.9
2022-01-20T12:00:00+00:00,186.2,2.1,36
2022-01-20T13:00:00+00:00,123,1.8,37.7
2022-01-20T14:00:00+00:00,44.9,1.6,39.3
2022-01-20T15:00:00+00:00,4.2,1.4,40.7
2022-01-20T16:00:00+00:00,0,1.3,43.3
2022-01-20T17:00:00+00:00,0,1.4,44.6
2022-01-20T18:00:00+00:00,0,1.3,46.6
2022-01-20T19:00:00+00:00,0,1.3,47.7
2022-01-20T20:00:00+00:00,0,1.2,48.5
2022-01-20T21:00:00+00:00,0,1.1,51.9
2022-01-20T22:00:00+00:00,0,1,54.3
2022-01-20T23:00:00+00:00,0,0.9,54.4
2022-01-21T00:00:00+00:00,0,0.5,58
2022-01-21T01:00:00+00:00,0,0,61.9
2022-01-21T02:00:00+00:00,0,0.3,62.8
2022-01-21T03:00:00+00:00,0,0.4,63.9
2022-01-21T04:00:00+00:00,0,0.8,65.3
2022-01-21T05:00:00+00:00,0,0.8,66.9
2022-01-21T06:00:00+00:00,0,1.1,68.5
2022-01-21T07:00:00+00:00,3.4,1.8,69.2
2022-01-21T08:00:00+00:00,48.8,2.7,69.9
2022-01-21T09:00:00+00:00,124.8,3.5,71.9
2022-01-21T10:00:00+00:00,143,4.8,75.2
2022-01-21T11:00:00+00:00,181.8,5.1,81.5
2022-01-21T12:00:00+00:00,175.1,5.3,85.1
2022-01-21T13:00:00+00:00,129.8,5.6,85.2
2022-01-21T14:00:00+00:00,44.1,5.2,88.1
2022-01-21T15:00:00+00:00,1.6,4.5,89.3
2022-01-21T16:00:00+00:00,0,4.1,89.3
2022-01-21T17:00:00+00:00,0,3.7,90.1
2022-01-21T18:00:00+00:00,0,3.8,89.2
2022-01-21T19:00:00+00:00,0,3.4,89.5
2022-01-21T20:00:00+00:00,0,3.4,90.2
2022-01-21T21:00:00+00:00,0,3.3,88.3
2022-01-21T22:00:00+00:00,0,2.6,88.6
2022-01-21T23:00:00+00:00,0,2.4,86.8
2022-01-22T00:00:00+00:00,0,2,86.1
2022-01-22T01:00:00+00:00,0,2.2,81.7
2022-01-22T02:00:00+00:00,0,2.1,78.8
2022-01-22T03:00:00+00:00,0,1.9,82.7
2022-01-22T04:00:00+00:00,0,2.1,82.9
2022-01-22T05:00:00+00:00,0,2.1,84
2022-01-22T06:00:00+00:00,0,2.2,84.8
2022-01-22T07:00:00+00:00,6.4,2.5,88.6
2022-01-22T08:00:00+00:00,48,2.7,92.1
2022-01-22T09:00:00+00:00,36.9,2.9,96.9
2022-01-22T10:00:00+00:00,79,3.3,96.8
2022-01-22T11:00:00+00:00,92.9,3.7,96.6
2022-01-22T12:00:00+00:00,79.2,4,96.7
2022-01-22T13:00:00+00:00,55.9,4.7,95.1
2022-01-22T14:00:00+00:00,22.5,4.7,93.6
2022-01-22T15:00:00+00:00,3.4,3.6,95.6
2022-01-22T16:00:00+00:00,0,2.7,97
2022-01-22T17:00:00+00:00,0,2.5,97.3
2022-01-22T18:00:00+00:00,0,2.5,97.5
2022-01-22T19:00:00+00:00,0,1.9,98.1
2022-01-22T20:00:00+00:00,0,2.2,98.1
2022-01-22T21:00:00+00:00,0,2.6,97.7
2022-01-22T22:00:00+00:00,0,3,97.7
2022-01-22T23:00:00+00:00,0,3.1,98.1
